단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
398120,KR7398120006,에스지헬스케어,ST,3.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2845,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,20524,100,20241219,11309,1130970000,12,,0,,N,N,78,-7,-10,-8,-7,20250630.0,321,,N,N,N
399720,KR7399720002,가온칩스,ST,2.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,49200,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,72111,500,20220520,11600,5800210000,12,,0,,N,N,243,-112,-142,-97,-30,20250630.0,5707,,N,N,N
402030,KR7402030001,코난테크놀로지,ST,2.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,24900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,57024,500,20220707,12517,6258744000,12,,0,,N,N,263,-141,-136,-136,-53,20241231.0,3116,,N,N,N
402490,KR7402490007,그린리소스,ST,3.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7600,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,118537,500,20231124,16558,8279444000,12,,0,,N,N,457,17,52,41,13,20250630.0,1258,,N,N,N
403490,KR7403490006,우듬지팜,ST,3.0,1009,1019,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1595,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,565433,100,20230919,45551,4555146400,12,,0,,N,N,332,13,6,4,3,20250630.0,726,,N,N,N
403870,KR7403870009,HPSP,ST,1.0,1009,1027,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,31600,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,665172,500,20220715,83498,41749284000,12,,0,,N,Y,1814,939,1138,863,31,20241231.0,26385,,N,N,Y
405000,KR7405000001,플라즈맵,ST,3.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7400,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,2058,500,20221021,3838,1919222000,12,,0,,N,N,21,-50,-35,-35,-106,20250630.0,284,,N,N,N
405100,KR7405100009,큐알티,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,15120,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,62636,500,20221102,12289,6144650500,12,,0,,N,N,328,17,14,12,3,20250630.0,1858,,N,N,N
405920,KR7405920000,나라셀라,ST,3.0,1011,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2215,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27824,5000,20230602,12878,64390380000,12,,0,,N,N,395,-4,2,1,0,20250630.0,285,,N,N,N
406820,KR7406820001,뷰티스킨,ST,3.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,12110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27458,500,20230724,3534,1767020000,12,,0,,N,N,332,-25,-41,-37,-23,20250630.0,427,,N,N,N
407400,KR7407400001,꿈비,ST,3.0,1009,1031,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4725,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,105823,100,20230209,14634,1481453400,12,,0,,N,N,281,1,1,1,-3,20250630.0,691,,N,N,N
408900,KR7408900009,스튜디오미르,ST,3.0,1015,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3550,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,288363,100,20230207,32729,3283122600,12,,0,,N,N,74,-17,-23,-19,-10,20250630.0,1161,,N,N,N
408920,KR7408920007,메쎄이상,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2710,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,32575,100,20220307,43232,4323245500,12,,0,,N,N,306,98,99,80,23,20250630.0,1171,,N,N,N
411080,KR7411080005,샌즈랩,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7560,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,118289,100,20230215,15267,1526763800,12,,0,,N,N,44,-29,-9,-12,-4,20250630.0,1154,,N,N,N
412350,KR7412350001,레이저쎌,ST,3.0,1009,1027,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2025,1,1,N,N,N,0,N,N,N,1,0,1,100,N,90,50565,500,20220624,8726,4363486000,12,,0,,N,N,21,-66,-69,-69,-55,20250630.0,197,,N,N,N
412540,KR7412540007,제일엠앤에스,ST,3.0,1009,1027,0,,N,N,,N,,,,,N,,,0,,,Y,,,,,N,3935,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20240430,20600,10300332500,12,,0,,N,N,1208,69,10,-8,-36100000,20250630.0,810,,N,N,N
413390,KR7413390006,엠오티,ST,3.0,1009,1027,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7220,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,198520,500,20241118,11580,5790090000,12,,0,,N,N,263,-4,-7,-8,-3,20250630.0,836,,N,N,N
413630,KR7413630005,씨피시스템,ST,3.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3570,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1166250,100,20220331,36436,4028342500,12,,0,,N,N,102,12,10,9,4,20250630.0,1300,,N,N,N
413640,KR7413640004,비아이매트릭스,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,11930,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,73291,500,20231109,7206,3603470000,12,,0,,N,N,309,20,29,37,13,20241231.0,859,,N,N,N
415380,KR7415380005,스튜디오삼익,ST,3.0,1011,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2265,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,55451,500,20240206,11442,5927074000,12,,0,,N,N,1079,40,45,36,13,20241231.0,259,,N,N,N
416180,KR7416180008,신성에스티,ST,2.0,1009,1030,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,40200,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,784797,500,20231019,9039,4519889000,12,,0,,N,N,534,31,34,20,4,20250630.0,3633,,N,N,Y
417010,KR7417010006,나노팀,ST,3.0,1009,1027,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4700,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,33726,500,20230303,20172,10086364000,12,,0,,N,N,199,1,-4,-5,-2,20250630.0,948,,N,N,N
417180,KR7417180007,핑거스토리,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1904,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,172713,100,20221208,17548,1754862300,12,,0,,N,N,184,15,20,17,7,20241231.0,334,,N,N,N
417200,KR7417200003,LS머트리얼즈,ST,1.0,1009,1028,0,,N,Y,,N,,,,,N,,,1,,,N,,,,,Y,13000,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1142102,500,20231212,67652,33826329500,12,,0,,N,Y,745,-10,-8,-13,-1,20250630.0,8794,FN2,N,N,Y
